Quantity,Designators,Value,Device,Package
2,"J1, J2",,Generic Pin Header 2.54mm 1x13 ⌀1.0mm,Pin Header 2.54mm 1x13 ⌀1.0mm
2,"J3, J4",,Generic Pin Header 2.54mm 1x08 ⌀0.9mm,Pin Header 2.54mm 1x08 ⌀0.9mm
2,"J5, J6",,Generic Pin Header 2.54mm 1x12 ⌀1.1mm,Pin Header 2.54mm 1x12 ⌀1.1mm
1,U1,W9464G6KH,W9464G6KH,TSOP66P65_2222X1176X120L80X30
